location,datetime,count
vrsic,2022-10-26,11
vrsic,2022-10-27,7
vrsic,2022-10-28,7
vrsic,2022-10-29,57
vrsic,2022-10-30,64
vrsic,2022-10-31,61
vrsic,2022-11-01,31
vrsic,2022-11-02,8
vrsic,2022-11-03,0
vrsic,2022-11-04,0
vrsic,2022-11-05,2
vrsic,2022-11-06,18
vrsic,2022-11-07,0
vrsic,2022-11-08,2
vrsic,2022-11-09,0
vrsic,2022-11-10,0
vrsic,2022-11-11,0
vrsic,2022-11-12,0
vrsic,2022-11-13,9
vrsic,2022-11-14,0
vrsic,2022-11-15,0
vrsic,2022-11-16,0
vrsic,2022-11-17,2
vrsic,2022-11-18,0
vrsic,2022-11-19,0
vrsic,2022-11-20,0
vrsic,2022-11-21,0
vrsic,2022-11-22,0
vrsic,2022-07-20,165
vrsic,2022-07-21,158
vrsic,2022-07-22,237
vrsic,2022-07-23,343
vrsic,2022-07-24,151
vrsic,2022-07-25,216
vrsic,2022-07-26,123
vrsic,2022-07-27,243
vrsic,2022-07-28,294
vrsic,2022-07-29,162
vrsic,2022-07-30,176
vrsic,2022-07-31,535
vrsic,2022-08-01,182
vrsic,2022-08-02,111
vrsic,2022-08-03,352
vrsic,2022-08-04,282
vrsic,2022-08-05,294
vrsic,2022-08-06,133
vrsic,2022-08-07,98
vrsic,2022-08-08,74
vrsic,2022-08-09,430
vrsic,2022-08-10,364
vrsic,2022-08-11,352
vrsic,2022-08-12,66
vrsic,2022-08-13,218
vrsic,2022-08-14,480
vrsic,2022-08-15,349
vrsic,2022-08-16,136
vrsic,2022-08-17,348
vrsic,2022-08-18,141
vrsic,2022-08-19,12
vrsic,2022-08-20,148
vrsic,2022-08-21,253
vrsic,2022-08-22,187
vrsic,2022-08-23,134
vrsic,2022-08-24,259
vrsic,2022-08-25,201
vrsic,2022-08-26,147
vrsic,2022-08-27,96
vrsic,2022-08-28,60
vrsic,2022-08-29,94
vrsic,2022-08-30,143
vrsic,2022-08-31,5
vrsic,2022-09-01,36
vrsic,2022-09-02,165
vrsic,2022-09-03,230
vrsic,2022-09-04,121
vrsic,2022-09-05,150
vrsic,2022-09-06,192
vrsic,2022-09-07,102
